Messstellennummer,Messstellenname,Gewaesser,Betreiber,Datum,Leitfaehigkeit,Einheit,Ganglinie,Klassifikation,stammdaten_link
601,MPS Berlin-Spandauer-Schifffahrtskanal,Berlin-Spandauer-Schifffahrtskanal,Land Berlin,16.07.2026 07:00,1017,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=601,>1000 - 1200,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=601
151,MPS Caprivibrücke,Spree,Land Berlin,16.07.2026 07:00,944,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=151,>800 - 1000,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=151
153,MPS Charlottenburg,Spree,Land Berlin,27.10.2025 23:45,829,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=153,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=153
139,MPS Fischerinsel,Spree,Land Berlin,16.07.2026 07:00,974,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=139,>800 - 1000,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=139
509,MPS Landwehrkanal,Landwehrkanal,Land Berlin,16.07.2026 07:00,1003,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=509,>1000 - 1200,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=509
504,MPS Neuköllner Schifffahrtskanal,Neuköllner Schifffahrtskanal,Land Berlin,16.07.2026 07:00,1156,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=504,>1000 - 1200,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=504
414,MPS Teltowkanal,Teltowkanal,Land Berlin,16.07.2026 07:00,991,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=414,>800 - 1000,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=414
141,MS Mühlendammschleuse,Spree,Land Berlin,02.07.2025 10:00,928,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=141,inaktiv,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=141
111,MS Rahnsdorf,Müggelspree,Land Berlin,16.07.2026 07:00,911,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=111,>800 - 1000,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=111
211,MS Schmöckwitz,Dahme,Land Berlin,16.07.2026 07:00,822,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=211,>800 - 1000,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=211
161,MS Sophienwerder,Spree,Land Berlin,16.07.2026 07:00,931,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=161,>800 - 1000,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=161
421,MS Teltow-Werft,Teltowkanal,Land Berlin,16.07.2026 07:00,1182,µS/cm,https://wasserportal.berlin.de/station.php?anzeige=g&thema=olf&station=421,>1000 - 1200,https://wasserportal.berlin.de/station.php?anzeige=i&thema=olf&station=421
SP_0150,Beeskow,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/beeskow/
TK_0025,Kleinmachnow,Teltowkanal,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/kleinmachnow/
SP_0130,Leibsch,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/leibsch/
SP_0050,Neuhausen,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/neuhausen/
HV_0110,Potsdam,Havel,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/potsdam/
SP_0020,Spremberg,Spree,Land Brandenburg,k. A.,k. A.,k. A.,NA,keine,https://lfu.brandenburg.de/lfu/de/aufgaben/wasser/fliessgewaesser-und-seen/gewaesserueberwachung/wasserguetemessnetz/spremberg/
