Messstellennummer,Messstellenname,Datum,Entnahmetiefe,Parameterwert,Einheit,_Bestimmungsgrenze,Ganglinie,Klassifikation,stammdaten_link
102,Gosener Graben - Gosener Landstr.,07.04.2026 09:12,0.5 m,9.5,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=102&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=102
105,Dämeritzsee - Seemitte,07.07.2026 10:41,0.5 m,20.1,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=105&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=105
110,Müggelspree - Fähre Rahnsdorf,07.07.2026 10:19,0.5 m,19.9,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=110&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=110
115,Großer Müggelsee - Seemitte,07.07.2026 09:49,0.5 m,19.6,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=115&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=115
120,Spree - Spreetunnel,07.07.2026 09:29,0.5 m,20.5,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=120&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=120
125,Spree - Dammbrücke,07.07.2026 09:10,0.5 m,20.8,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=125&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=125
130,Spree - Fähre Baumschulenweg,06.07.2026 08:40,0.5 m,19.8,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=130&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=130
135,Rummelsburger See - Seemitte,06.07.2026 09:05,0.5 m,21.1,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=135&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=135
140,Spree - Jannowitzbrücke,06.07.2026 09:40,0.5 m,21.0,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=140&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=140
150,Spree -  oh. Mdg. Landwehrkanal,06.07.2026 10:52,0.5 m,21.4,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=150&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=150
160,Spree - Sophienwerder,06.07.2026 12:23,0.5 m,21.2,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=160&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=160
215,Dahme - Schmöckwitzer Brücke,07.07.2026 11:39,0.5 m,20.0,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=215&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=215
220,Seddinsee - Seddinwall,07.07.2026 11:07,0.5 m,20.9,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=220&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=220
225,Langer See - Bammelecke,07.07.2026 12:11,0.5 m,20.9,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=225&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=225
228,Dahme - uh. Teltowkanal,07.07.2026 12:45,0.5 m,20.5,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=228&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=228
230,Dahme - Lange Brücke,07.07.2026 12:58,0.5 m,20.8,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=230&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=230
305,Oberhavel - Konradshöhe,01.07.2026 10:46,0.5 m,26.2,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=305&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=305
311,Tegeler See - Seemitte,11.05.2026 10:51,0.5 m,15.4,°C,-,https://wasserportal.berlin.de/station.php?anzeige=g&thema=opq&station=311&nstoffid=448,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=opq&station=311
