Messstellennummer,Messstellenname,Gewaesser,Betreiber,Datum,Durchfluss,Einheit,Ganglinie,Klassifikation,stammdaten_link
5827103,Allendestraße,Müggelspree,Land Berlin,01.05.2022 23:45,3.29,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5827103,nicht aktuell,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5827103
5870400,Alsenbrücke,Griebnitzkanal,Land Berlin,,NA,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5870400,nicht aktuell,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5870400
5864801,Am Kienberg,Hellersdorfer Graben,Land Berlin,19.03.2023 07:00,0.006,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5864801,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5864801
5867401,Bürgerpark,Panke,Land Berlin,19.03.2023 07:00,1.63,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5867401,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5867401
5867900,Eisenbahnbrücke,Nordgraben,Land Berlin,19.03.2023 00:30,0.326,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5867900,sehr niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5867900
5827101,Fähre Rahnsdorf,Müggelspree,Land Berlin,19.03.2023 07:00,8.07,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5827101,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5827101
5870100,Lichterfelde,Teltowkanal,Land Berlin,19.03.2023 07:00,6.3,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5870100,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5870100
5826701,Neue Fahlenbergbrücke,Gosener Kanal,Land Berlin,19.03.2023 00:30,9.8,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5826701,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5826701
5862811,Schmöckwitz US,Zeuthener See,Land Berlin,19.03.2023 07:00,22.5,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5862811,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5862811
5827700,Sophienwerder,Spree,Land Berlin,19.03.2023 07:00,47.8,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5827700,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5827700
5815911,Tegelort,Havel,Land Berlin,,NA,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5815911,nicht aktuell,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5815911
5803200,Tiefwerder,Havel,Land Berlin,19.03.2023 07:00,65.9,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5803200,normal,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5803200
5861200,Wiesengrund,Neuenhagener Mühlenfließ,Land Berlin,19.03.2023 07:00,0.385,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5861200,sehr niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5861200
5864800,Wuhletal,Wuhle,Land Berlin,19.03.2023 07:00,0.051,m³/s,https://wasserportal.berlin.de/station.php?anzeige=g&thema=odf&station=5864800,niedrig,https://wasserportal.berlin.de/station.php?anzeige=i&thema=odf&station=5864800
